run_id,timestamp,status,language,srs,n_frs,stack,model,total_seconds,tokens_in,tokens_out,tokens_total,llm_calls,cost_usd,code_files,code_loc,test_features,test_cases,dafny_n_features,dafny_n_verified,dafny_verification_rate,dafny_axioms,verification_seconds,certification_seconds,cert_n,pass@1,case_pass_rate,n_tested_frs,n_proved_features,prove,certify,samples,max_cert_loops,temperature,verification_pass_ratio,test_case_pass_ratio,avg_input_token,avg_output_token,total_time,avg_verification_iter,avg_test_iter,PassVer@1
20260627-173250-human,2026-06-27T17:32:50.953130+00:00,complete,javascript,Human,2,express,google_gemini-3_1-pro-preview,217.668,18103,26890,44993,11,0.018849,2,44,2,8,2,2,1.0,0,90.219,0.002,1,0.0,0.0,0,2,True,True,1,4,0.0,1.0,0.0,1645.7,2444.5,217.67,1.5,0.0,1.0
20260627-173513-human,2026-06-27T17:35:13.891504+00:00,complete,javascript,Human,2,express,deepseek_deepseek-v3_2,360.617,41385,9193,50578,16,0.011724,2,63,2,5,2,0,0.0,0,167.527,0.554,1,0.0,0.6,1,0,True,True,1,4,0.0,0.0,0.6,2586.6,574.6,360.62,4.0,1,0.0
20260627-173748-dineout-srs,2026-06-27T17:37:48.487824+00:00,complete,javascript,dineout_srs,26,express,openai_gpt-5_1,712.443,218417,80345,298762,94,0.08097,26,1388,10,99,10,4,0.4,0,313.976,5.256,1,0.5,0.8392857142857143,14,4,True,True,1,4,0.0,0.4615,0.8393,2323.6,854.7,712.44,2.69,1,0.7308
20260627-173841-0000-cctns,2026-06-27T17:38:41.561521+00:00,complete,java,0000 - cctns,7,spring,deepseek_deepseek-v3_2,1052.039,119257,36707,155964,48,0.039913,7,584,7,25,7,3,0.429,0,371.051,22.45,1,0.0,0.0,4,3,True,True,1,4,0.0,0.4286,0.0,2484.5,764.7,1052.04,2.86,1,0.4286
20260627-174230-dineout-srs,2026-06-27T17:42:30.894981+00:00,complete,java,dineout_srs,26,spring,openai_gpt-5_1,784.571,209077,78817,287894,85,0.078652,19,2054,10,80,10,5,0.5,0,286.443,120.721,1,0.0,0.0,14,5,True,True,1,4,0.0,0.4615,0.0,2459.7,927.3,784.57,2.77,1,0.4615
20260627-174608-0000-cctns,2026-06-27T17:46:08.080712+00:00,complete,python,0000 - cctns,7,fastapi,openai_gpt-5_1,2029.517,1869737,256335,2126072,88,5.246378,7,1347,7,30,7,5,0.714,0,145.266,5.227,1,0.0,0.0,2,6,True,True,1,4,0.0,0.8571,0.0,21247.0,2912.9,2029.52,1.86,5,0.8571
20260627-174914-kinmail-srs,2026-06-27T17:49:14.447664+00:00,complete,java,kinmail_srs,13,spring,openai_gpt-5_1,401.753,94653,44035,138688,29,0.040619,13,1178,2,38,2,0,0.0,0,135.054,81.83,1,1.0,1.0,13,0,True,True,1,4,0.0,0.0,1.0,3263.9,1518.4,401.75,4.0,1,1.0
20260627-175315-0000-gamma-j,2026-06-27T17:53:15.962645+00:00,complete,java,0000 - gamma j,6,spring,google_gemini-3_1-pro-preview,872.355,58597,113164,171761,32,0.076688,6,475,6,11,6,6,1.0,0,306.189,0.002,1,0.0,0.0,0,6,True,True,1,4,0.0,1.0,0.0,1831.2,3536.4,872.36,1.33,0.0,1.0
20260627-175833-2009-video-search,2026-06-27T17:58:33.959751+00:00,complete,java,2009 - video search,7,spring,google_gemini-3_1-pro-preview,315.654,22586,45919,68505,8,0.030939,1,175,1,0,1,1,1.0,0,87.973,0.003,1,0.0,0.0,0,1,True,True,1,4,0.0,1.0,0.0,2823.2,5739.9,315.65,3.0,0.0,1.0
20260627-175958-2009-video-search,2026-06-27T17:59:58.257177+00:00,complete,java,2009 - video search,7,spring,deepseek_deepseek-v3_2,399.979,35912,15935,51847,15,0.014948,7,429,1,0,1,0,0.0,0,92.948,0.002,1,0.0,0.0,0,0,True,True,1,4,0.0,0.0,0.0,2394.1,1062.3,399.98,4.0,0.0,0.0
